kind,survey_id,variable,language,distance_bin,cos_to_train,cos_to_corpus,cos_to_train_cross_survey,n_valid_responses,n_heldout_cells_ge30,n_heldout_cells_ge100,n_candidates_in_cell,label
test_item,ces_2019_phone,p15,en,moderate,0.804,0.804,0.628616,2889,15,0,,"Rating of Elizabeth May (0-10 scale) — Where would you place Elizabeth May? Repeat if needed: using a scale from 0 to 10, where 0 means you strongly dislike that party leader and 10 means that you strongly like that party leader, ... them"
test_item,ces_2019_phone,p22_a,en,moderate,0.843199,0.843199,0.843199,2889,15,0,,"Impact of immigrants on Canadian economy — Immigrants are generally good for Canada's economy.: And thinking specifically about immigrants, to what extent do you agree or disagree that …"
test_item,ces_2021,cps21_vaccine_mandat_1,en,moderate,0.808286,0.808286,0.580438,20968,50,19,,Passeport ou obligation vaccinale COVID-19 : Transports aériens ou ferroviaires — Should vaccination be required to: - Travel by air or rail in Canada
test_item,ces_2021,pes21_privjobs,en,moderate,0.802701,0.802701,0.802701,15069,43,10,,"Attitudes sur le rôle de l'État dans la santé, l'emploi et la réduction des inégalités — The government should leave it entirely to the private sector to create jobs."
test_item,ces_2025,cps25_own_fin_future,en,moderate,0.849187,0.849187,0.818915,20180,53,14,,"One-year outlook for personal financial situation — Over the next year, do you think your financial situation will:"
test_item,ces_2025,pes25_indig_favors,en,moderate,0.818236,0.818236,0.818236,14075,47,4,,"Indigenous minority comparison to historical immigrant groups overcoming prejudice — Irish, Italian, Jewish and many other minorities overcame prejudice and worked their way up. Indigenous peoples in Canada should do the same without any special favors."
test_item,cecd_elxn_qc_2007,vote,fr,moderate,0.849953,0.849953,0.849953,1794,8,1,,Vote déclaré aux élections provinciales du 26 mars 2007 — 3.  Et pour quel parti avez-vous voté?   NE PAS LIRE
test_item,eeq_2012,Q31,fr,moderate,0.845984,0.845984,0.845984,1505,11,0,,"Intention de vote fédéral si une élection avait lieu la semaine prochaine — Si une élection fédérale avait lieu la semaine prochaine, pour quel parti voteriez-vous? (ROTATION DES CHOIX)"
test_item,eeq_2018,q40b,fr,moderate,0.819959,0.819959,0.735385,3072,8,7,,Accord : Entreprises privées gèrent mieux les services que le gouvernement — Veuillez indiquer si vous êtes d’accord ou en désaccord avec cet énoncé : Les entreprises privées font généralement un meilleur travail que le gouvernement pour gérer les services.
test_item,eeq_2018,q51a_8,fr,moderate,0.828456,0.828456,0.785487,3072,8,7,,"Meilleur parti pour : Gérer les enjeux d'immigration — Selon vous, quel parti est le meilleur pour gérer les enjeux d’immigration?"
test_item,eeq_2018,q59_3,fr,moderate,0.824679,0.824679,0.626928,3072,8,7,,Trait de personnalité : Préférence pour les habitudes — Veuillez indiquer à quel point vous êtes d’accord ou non avec cet énoncé : Je préfère m’en tenir aux habitudes et aux choses que je connais bien.
test_item,provincial_qc_2012,Q19AA,fr,moderate,0.837582,0.837582,0.837582,990,8,0,,Préférence pour le poste de premier ministre du Québec — Qui préfèreriez-vous comme premier ministre du Québec ?
test_item,ces_2019_online,pes19_emb_none,en,near,0.860669,0.860669,0.860669,5188,15,0,,Support for adding 'None of the above' option to election ballots — Election ballots should have the option 'None of the above' for those who do not support any of the candidates.
test_item,ces_2019_online,pes19_populism_3,en,near,0.881989,0.881989,0.881989,10340,34,1,,View that most politicians do not care about the people — Most politicians do not care about the people.
test_item,ces_2019_online,pes19_taxes_2,en,near,0.857487,0.857487,0.555663,5254,17,0,,Fair tax burden rating for Big Corporations — How much should each of the following pay in taxes? - Big Corporations
test_item,ces_2019_phone,q9,en,near,0.905833,0.905833,0.744127,4021,29,0,,"General interest in politics (0-10 scale) — Using a scale from 0 to 10, where 0 means no interest at all and 10 means a great deal of interest, how interested are you in this FEDERAL election? No interest at all great deal of interest"
test_item,ces_2019_phone,q33,en,near,0.864833,0.864833,0.850521,4021,29,0,,Party best at managing Canadian economy — Which party do you think would be best at managing Canada's economy?
test_item,ces_2019_phone,p35_c,en,near,0.870493,0.870493,0.866857,2889,15,0,,"What should be done for gays and lesbians — Gays and lesbians: How much do you think should be done for ... If asked to clarify what ""what should be done"" refers to, say: ""what should be done in terms of policies to protect (women/racial minorities/gays and lesbians)"""
test_item,eeq_2007,q6,fr,near,0.87919,0.87919,0.691054,2175,11,4,,Importance du déséquilibre fiscal comme enjeu dans l'élection de 2007 — Est-ce que le déséquilibre fiscal ÉTAIT un enjeu important pour vous dans cette élection ?
test_item,eeq_2012,Q55,fr,near,0.850985,0.850985,0.710036,1505,11,0,,"Choix entre plus de pouvoirs pour le Québec et l'indépendance — Si vous deviez choisir entre plus de pouvoirs pour le Québec et l'indépendance, lequel préféreriez-vous?"
test_item,eeq_2018,q16_5,fr,near,0.871762,0.871762,0.770084,3072,8,7,,"Association spontanée : Parti pour l'éducation — Lorsque vous pensez à « l'éducation », à quel parti politique pensez-vous spontanément?"
test_item,eeq_2018,q34_c,fr,near,0.931023,0.931023,0.676845,3072,8,7,,"Évaluation des anglophones du Québec (échelle 0-10) — Sur une échelle de 0 à 10, que pensez-vous des anglophones du Québec?"
test_item,provincial_qc_2012,Q28C,fr,near,0.925261,0.925261,0.656267,990,8,0,,"Chances de victoire du candidat de QS dans la circonscription — Veuillez indiquer les chances qu’ont les candidats de chaque parti de gagner dans votre CIRCONSCRIPTION sur une échelle de 0 à 10 (0 = aucune chance, 10 = certain de gagner) : / Québec solidaire"
test_item,provincial_qc_2012,Q30AA,fr,near,0.919926,0.919926,0.919926,990,8,0,,Positionnement perçu du Parti libéral du Québec sur l'axe gauche-droite — Où situeriez-vous chacun des partis politiques sur la même échelle de 0 à 10 de gauche à droite ? / Parti libéral du Québec
test_item,ces_2019_online,cps19_2nd_choice,en,quasi_duplicate,0.96995,0.96995,0.898934,30380,54,30,,Second choice party preference — And which party would be your second choice?
test_item,ces_2019_online,cps19_econ_retro,en,quasi_duplicate,0.958387,0.958387,0.958387,37822,61,35,,"Evaluation of Canadian economy over past year — Over the past year, has Canada's economy:"
test_item,ces_2021,cps21_pos_energy,en,quasi_duplicate,1.0,1.0,0.923004,12790,40,1,,"Appui du gouvernement au secteur énergétique et à la construction d'oléoducs — The federal government should do more to help Canada’s energy sector, including building oil pipelines."
test_item,ces_2021,pes21_dem_sat,en,quasi_duplicate,0.976907,0.976907,0.918887,15069,43,10,,"Satisfaction envers le fonctionnement de la démocratie au Canada — On the whole, are you very satisfied, fairly satisfied, not very satisfied, or not satisfied at all with the way democracy works in Canada?"
test_item,ces_2021,pes21_can_id_2,en,quasi_duplicate,0.96898,0.96898,0.898078,4728,10,0,,"Importance accordée à l'identité canadienne, ethnique et linguistique — Some people say that the following things are important for being truly Canadian. Others say they are not important. How important do you think the following is for being truly Canadian... - For your grandparents to have been born in Canada."
test_item,ces_2021,pes21_cultureQC,en,quasi_duplicate,0.966944,0.966944,0.911422,15069,43,10,,"Attitudes sur la souveraineté du Québec, la langue et la culture françaises — In your opinion, is the French culture threatened in Quebec?"
test_item,eeq_2007,q18a,fr,quasi_duplicate,0.990059,0.990059,0.962629,2175,11,4,,Identification comme Québécois ou Canadien (ordre Québécois d'abord) — Les gens ont différentes façons de se définir. Diriez-vous que vous vous considérez...? / LIRE LES 5 CHOIX
test_item,eeq_2007,q51,fr,quasi_duplicate,0.969861,0.969861,0.969861,2175,11,4,,"Accord : recourir davantage au secteur privé pour améliorer la santé — Veuillez indiquer si vous êtes fortement d'accord, plutôt d'accord, plutôt en désaccord ou fortement en désaccord avec chacun des énoncés suivants. / Pour améliorer le système de santé au Québec, il faudrait avoir davantage recours au secteur privé."
test_item,eeq_2008,q67,fr,quasi_duplicate,0.978167,0.978167,0.978167,1151,10,0,,"Accord : la société se porterait mieux si les gens pratiquaient leur religion plus régulièrement — Veuillez indiquer si vous êtes fortement d'accord, plutôt d'accord, plutôt en désaccord ou fortement en désaccord avec chacun des énoncés suivants. / Notre société se porterait mieux si les gens pratiquaient leur religion plus régulièrement."
test_item,eeq_2012,Q77A,fr,quasi_duplicate,0.951199,0.951199,0.951199,1505,11,0,,"Accord ou désaccord : « Notre société doit faire tout ce qui est nécessaire pour s'assurer que chacun ait une chance égale de réussir » — Veuillez indiquer si vous êtes fortement d'accord, plutôt d'accord, plutôt en désaccord, ou fortement en désaccord avec les énoncés suivants: / « Notre société doit faire tout ce qui est nécessaire pour s'assurer que chacun ait une chance égale de réussir. »"
test_item,eeq_2012,Q81,fr,quasi_duplicate,0.963888,0.963888,0.963888,1505,11,0,,Positionnement entre l'État garant de l'emploi et de la qualité de vie versus la responsabilité individuelle (échelle) — Certaines personnes disent que les gouvernements devraient s'assurer que chaque personne ait un emploi et une bonne qualité de vie. D'autres personnes disent que les gouvernements devraient plutôt laisser chaque personne se débrouiller par elle-même. Et d'autres personnes ont une opinion entre ces deux positions. Où vous situez-vous sur l'échelle ci- dessous?
test_item,eeq_2014,Q12,fr,quasi_duplicate,0.975607,0.975607,0.975607,1517,12,0,,Degré d'attachement au Québec
candidate_pool,,,en,far,,,,,,,20,
candidate_pool,,,fr,far,,,,,,,33,
candidate_pool,,,en,isolated,,,,,,,23,
candidate_pool,,,fr,isolated,,,,,,,28,
candidate_pool,,,en,moderate,,,,,,,82,
candidate_pool,,,fr,moderate,,,,,,,84,
candidate_pool,,,en,near,,,,,,,496,
candidate_pool,,,fr,near,,,,,,,316,
candidate_pool,,,en,quasi_duplicate,,,,,,,106,
candidate_pool,,,fr,quasi_duplicate,,,,,,,76,
